account	gives
lodging	took
luggage	rode
market-day	show
meantime	prepared
necessaries	provided
palace	took
part	act
pocket	carried
queen	buys
queen	is
rivers	passed
room	turned
scholars	disputes
school-boy	aimed
sentence	explain
skeleton	reduced
stomach	lost
stomach	observed
strength	recovered
table	provided
town	carried
towns	shown
vehicle	prepared
wife	carried
wife	took
word	speak
words	interpreted
animal	viewed
answer	took
answers	received
apartment	gone
apprehensions	appear
arguments	learned
arguments	took
arrival	passed
astonishment	conceal
bargain	got
bow	making
cabinet	retired
cabinet-door	attended
coldness	observed
conclusion	entreated
consent	got
country	arrived
creature	found
earth	framed
favor	admitted
favor	beg
favor	continue
feet	set
foot	kissing
hand	took
house	learned
house	passed
ignorance	disguise
imagination	put
insects	learned
insects	offered
joy	hide
king	carried
king	retired
king	took
kingdom	known
kingdom	showing
knees	fell
knowledge	received
language	received
life	devote
life	led
life	preserving
life	thought
lip	put
manner	asked
month	live
obligation	owed
part	framed
perfection	arrived
person	learned
petition	agreed
phrases	learned
phrases	received
price	sell
professors	invented
questions	put
reason	asked
respect	put
scholars	sent
service	admitted
service	devote
shape	examined
shape	observed
shape	observing
snails	fed
speech	delivered
spirits	found
spot	ordered
stature	abounded
table	embraced
table	put
table	set
teeth	observed
teeth	viewed
travels	answered
voice	heard
wit	surprised
word	heard
account	gave
ante-chamber	passed
apartment	provided
artist	according
artist	finished
bed-chamber	serve
box	contrive
box	serve
cabinet-maker	commanded
care	taken
chair	placed
chair	took
chairs	make
clothes	make
country	talking
country	treated
creature	seeing
creatures	betray
creatures	call
creatures	cheat
creatures	contrive
creatures	dispute
creatures	fight
creatures	love
creatures	make
cup	drank
day	gone
degrees	dwindled
dozen	lifted
draught	drank
dwarf	being
dwarf	mortified
dwarf	raising
dwarf	took
finery	beheld
floor	quilted
girl	confronted
habit	resembling
hand	place
hand	placed
hand	taking
hinges	lifted
hogshead	drank
injuries	resent
instant	happened
key	keep
lesson	instructed
littleness	failed
majesty	ate
majesty	began
manners	inquiring
meal	eat
meals	gave
men	dismissing
men	learned
minister	continued
minister	observed
minister	says
minister	turning
minister	waited
months	accustomed
months	observed
mouth	put
mouthful	took
necessaries	gave
necessaries	kept
night	letting
nurse	ran
nurse	took
parts	acting
person	dined
persons	appeared
pleasure	took
prince	forbear
prince	gave
prince	took
queen	appropriated
queen	commanded
queen	desired
queen	dine
queen	dress
queen	ordered
queen	provided
relief	ran
room	quilted
sabbath	dine
sabbath	observed
scythe	handle
scythe	set
sight	beheld
size	dwindled
staff	waited
swimmer	accustomed
swimmer	agree
swimmer	appeared
swimmer	asked
swimmer	assist
swimmer	began
swimmer	beheld
swimmer	carried
swimmer	carved
swimmer	cast
swimmer	conceived
swimmer	confess
swimmer	confronted
swimmer	conversing
swimmer	dare
swimmer	desired
swimmer	dine
swimmer	drop
swimmer	dwindled
swimmer	eat
swimmer	fell
swimmer	finished
swimmer	forbear
swimmer	gave
swimmer	gone
swimmer	happened
swimmer	imagine
swimmer	injured
swimmer	instructed
swimmer	known
swimmer	locked
swimmer	mortified
swimmer	observed
swimmer	passed
swimmer	place
swimmer	ran
swimmer	remember
swimmer	revenge
swimmer	seen
swimmer	serve
swimmer	sitting
swimmer	smiling
swimmer	standing
swimmer	stroking
swimmer	swallowed
swimmer	taken
swimmer	taking
swimmer	tempted
swimmer	tending
swimmer	think
swimmer	thought
swimmer	took
swimmer	wanted
table	standing
tables	make
tables	undertook
taws	inquiring
teeth	craunch
things	put
tory	asked
upholsterer	furnished
upholsterer	locked
upholsterer	took
weeks	according
word	failed
workman	undertook
air	admired
air	flew
animals	defend
assistance	lend
bigness	disgusted
box	hung
box	set
breakfast	eat
cake	seized
clothes	spoiled
cowards	excluded
cowards	used
creatures	shown
curiosities	shown
damage	received
dexterity	admired
drones	humming
ears	buzzing
frontiers	viewing
half	found
hand	catch
hands	took
hanger	rise
head	flew
humming	sat
inch	found
insects	buzzing
legs	scalded
legs	squeezing
lorbrulgrud	hampers
majesty	placed
majesty	taken
man	carry
man	disgusted
maps	correcting
marrow	knocking
marrow-bone	taken
meals	take
metropolis	give
miles	reacheth
morning	set
mortals	inhabited
mountains	inhabit
noise	confounding
northeast	terminated
occasion	buzzing
occasion	pestered
ocean	bounded
opportunity	thought
opportunity	watching
others	flew
people	feed
philosophers	determined
plate	taken
princes	get
rarity	passed
reader	give
reasons	determined
remedy	cut
resentment	carried
rest	got
rivers	abound
rocks	dashed
rocks	feed
room	flying
satisfaction	saw
school-boys	cut
school-boys	flew
school-boys	let
sea	get
shoulders	carry
sideboard	gone
sideboard	mounted
sides	bounded
smell	allured
stings	took
stool	mounted
table	passed
table	sat
temple	described
time	stuck
time	vexed
wasps	allured
wasps	eat
whale	happens
whale	take
window	hung
window	set
window	shut
accidents	exposed
accidents	prevent
accidents	venture
artist	directed
author	shows
back	hit
bearers	stop
box	buckle
box	carried
ceiling	hung
censure	avoid
chairs	hung
cities	contains
city	contains
city	stands
closet	held
closet	travelling
coach	allowed
contrivance	directed
day	carried
day	followed
day	left
days	go
days	goes
desire	pardoned
distance	walked
dwarf	followed
dwarf	left
dwarf	pardoned
ears	tumbling
face	knocked
feet	paced
feet	reckoning
floor	screwed
gardens	see
governess	took
governess	walked
grass-plot	left
grave	confide
grave	pay
half	measured
hammock	hung
hand	hold
hand	take
handkerchief	wrapped
height	reckoning
horse	thought
houses	contains
houses	view
hurt	received
inhabitants	contains
journeys	buckle
journeys	prevent
kitchen	vaulted
kitchen-grate	describe
lap	held
life	acknowledge
littleness	exposed
lorbrulgrud	describe
men	borne
miles	make
nation	acknowledge
nation	detract
navigation	shows
niches	placed
nurse	carried
nurse	set
officers	known
opportunity	watching
order	extended
order	laid
people	heard
people	view
pocket	carried
provocation	given
reader	satisfy
return	measured
scale	computing
sedan	crowd
shops	go
side	fixed
skill	shows
spits	turning
staples	fixed
stone	built
stone	hewn
streets	passed
table	hung
tennis-balls	pelted
tower	belonging
tower	reckoned
tower	wants
town	see
travellers	suspected
treatise	happen
treatise	transmitted
trees	happens
trees	show
trinkets	keep
visit	confide
waist	buckled
wit	show
accident	determined
accident	happened
accident	set
birds	appear
birds	did
birds	hop
boat	contrive
boat	make
box	carrying
box	left
breakfast	given
clothes	tearing
cudgel	took
day	threw
day	took
days	finished
distance	hop
distance	looking
dog	reprimanded
earth	cast
fingers	durst
fingers	pick
future	trust
garden	got
garden	happened
garden	hovering
garden	ran
gardener	asked
gardener	carried
gardener	knew
gardener	reprimanded
gardener	took
ground	set
hands	took
hanger	drawn
hurt	carried
joiner	make
king	ordered
king	ran
kite	hovering
lap	ran
length	held
linnet	go
linnet	held
linnet	knocked
linnet	ran
linnet	recovering
linnet	seemed
linnet	seizing
mariner	work
master	ran
mouth	taking
neck	wrung
oar	handle
oars	manage
place	entreated
place	happened
place	put
pleasure-boat	finished
pleasure-boat	tackling
proportion	observing
sail	handle
sculls	manage
sea-voyages	talk
servants	fill
shin	broke
sight	trust
snail	happened
story	go
tail	wagging
talons	carried
teeth	carried
thing	bushed
thing	known
thoughts	enjoy
time	fell
time	returned
water	began
water	let
word	speak
workman	finished
worms	looking
accident	met
air	held
animal	given
animal	kept
art	showed
bed	conceal
bed	keep
boat	carried
boat	hung
boat	leap
boat	place
boat	put
box	lived
box	seemed
brains	dashed
breath	blow
breeches-pocket	putting
cat	does
cat	plays
chamber	poked
child	does
closet	carried
closet	locked
courage	called
diversion	entertained
diversion	row
diversions	interrupted
eaves	tumbling
exercise	met
face	stroking
fans	gave
fears	suffered
feet	fallen
fingers	slip
floor	fallen
fore-foot	took
fortnight	squeezes
fright	put
gale	gave
giddiness	fall
girl	distracted
governess	attended
governess	lifted
ground	sat
hand	clapping
haste	withdraw
health	inquire
hilt	clapping
illustration	gave
illustration	retreated
king	asked
king	attended
king	desired
king	given
king	pleased
king	poked
king	put
king	return
king	sent
kingdom	underwent
lad	brought
lad	climbed
ladders	applied
ladders	let
ladders	mounted
ladders	ran
ladies	gave
laughter	make
laughter	produced
legs	walking
life	cost
men	encompassed
men	mounted
middle	held
monkey	belonged
monkeys	presumed
monkeys	told
mouse	plays
noise	interrupted
noise	opening
nurse	does
pail	slip
palace	kept
paw	lay
paw	poked
paw	stroking
recovery	attended
relief	ran
resting-place	seeing
sail	blow
sail	put
seat	stirring
servants	ran
shirt	passed
shriek	give
side	balance
speech	produced
stomacher	stuck
stones	threw
table	meditating
time	perceiving
time	sat
tone	delivered
trough	fill
trough	put
while	banged
wind	blown
windows	left
yards	sat
activity	leap
activity	try
air	take
arms	extended
bass	play
bench	placed
bench	put
box	bring
box	brought
box	confined
box	spread
cabinet	brought
cabinet	kept
cabinet-maker	consulting
cabinet-maker	received
chair-frames	make
chamber	kept
consent	gave
contrary	observed
contrary	provided
court	furnishing
court	spread
curiosities	shew
day	took
distance	take
ears	sounding
face	brought
feet	placed
field	alighted
foot	put
footman	spread
friend	consulting
friend	make
genius	kept
girl	carried
girls	hear
hand	seen
holes	bore
holes	wove
instrument	entertain
jig	play
keys	banging
keys	placed
knees	found
master	attended
music	found
nurse	confined
orders	received
performers	sat
persons	provided
quantity	got
reason	extend
return	presume
return	put
return	seen
run	took
skill	shows
skin	damage
sound	interrupt
spinet	called
spinet	placed
spinet	play
sticks	banging
sticks	prepared
story	furnishing
teeth	broken
travelling-box	setting
tunes	distinguish
week	attend
week	attended
week	shaved
window-curtains	draw
window-curtains	found
abilities	culled
assembly	admitted
assembly	allowed
assembly	consisted
assembly	getting
assembly	supply
audience	put
audiences	ended
audiences	spent
causes	plead
commoners	called
conversation	ended
costs	decreed
counsellors	being
counsellors	qualify
counsellors	sought
discourse	began
discourses	conjectured
discourses	put
dominions	consisted
doubts	proposed
education	taken
end	put
families	ruin
interest	strengthening
islands	composed
islands	consisted
judges	presided
king	began
king	conjectured
king	desired
king	give
king	heard
king	intended
kingdoms	composed
landlord	choose
legislature	committed
lords	created
lords	decide
lords	want
majesty	informing
majesty	seemed
men	determining
methods	used
monarchs	conjectured
nation	sought
noblemen	continued
notes	ask
notes	consulting
objections	proposed
orators	pleading
patrimonies	spoke
people	culled
people	instruct
persons	joined
points	satisfied
queries	proposed
questions	multiplied
rank	promoted
resort	decide
service	hoped
stranger	choose
stranger	influence
time	spent
trouble	allowed
trouble	ruin
voters	choose
affairs	gave
allowances	given
banishments	eluding
banishments	spoke
calculations	deceived
cause	pleaded
century	gave
children	defended
closet	keep
coasts	defend
companions	habituate
consent	call
consent	governed
corruptions	blurred
country	treated
creditors	asked
creditors	found
creditors	pay
degrees	allow
degrees	allowed
dependence	keep
dexterity	learn
education	confined
effects	avarice
endeavor	failed
entertainment	laid
entertainment	taken
estate	run
fleet	defend
fortunes	affect
half	erased
hands	taking
historian	recommends
house	defended
i	allowed
institution	doth
issues	mention
king	continued
king	spent
kingdom	run
legislator	qualifying
light	place
malice	avarice
malice	produce
man	allowed
man	delivered
man	desired
man	gave
man	observed
man	spoke
manners	consist
memory	failed
men	ennobled
millions	computed
nations	prevail
neighbors	live
notes	taken
occasion	consist
occasion	given
opinion	hear
opinions	pleading
opinions	prove
others	learn
pains	wrung
people	force
people	habituate
people	live
people	needs
people	take
people	talk
person	run
poisons	keep
precedents	cited
prejudices	produce
priests	advanced
prince	giving
prince	happened
rascals	get
rascals	picked
reason	knew
reason	require
rejected	is
relation	gathered
resentments	discover
resentments	turned
rest	blotted
rest	blurred
riches	arrive
sects	drawn
taxes	computed
throats	cutting
time	employed
times	pleaded
virtue	ennobled
wars	talk
account	lessened
alphabet	consists
applications	drew
balls	discharged
bed-chamber	lay
births	produce
books	amount
books	placed
bounds	governing
brook	drowned
chain	linked
commands	dispute
comment	write
conception	drive
contriver	amazed
days	dwindled
engine	discharged
engines	given
expressions	using
face	turning
favor	make
force	sustain
gentlewoman	belonged
gentlewoman	dealt
ground	batter
hands	put
heads	drive
heap	kindle
heap	make
hours	batter
house	falling
houses	tear
ideas	entertain
ignorance	arisen
ingredients	knew
insect	grovelling
interpretation	discover
king	amazed
king	commanded
king	confined
king	delighted
king	gave
king	given
king	lose
king	professed
king	protested
king	struck
king	tell
kingdom	lose
leaf	turned
length	extend
life	valued
manner	began
metropolis	destroy
opportunity	put
paces	left
page	began
pavements	rip
people	allowed
pieces	tear
poetry	allowed
poetry	consisting
politics	reduced
powder	make
powder	put
prince	possessed
rest	diverted
right	walking
science	reduced
scruple	let
secret	commanded
secret	lose
splinters	throw
style	smooth
subjects	adored
terms	expressed
things	delighted
topics	governing
treatise	belonged
treatise	diverted
treatise	lay
walls	batter
words	exceed
words	multiplying
workman	direct
world	asserted
writer	added
writer	argued
writer	defend
writer	excelled
affairs	boast
ages	troubled
air	brandish
armies	think
army	consists
author	attends
author	leaves
author	returns
boy	observed
boy	set
boy	shut
boy	took
chamber	confined
city	thought
corners	fixed
country	leaves
crew	brought
danger	happen
days	pass
discipline	saw
duty	kept
eggs	look
end	put
field	exercise
foot	consists
frog	trod
groove	drew
histories	reading
horse	consists
impulse	recover
inquiry	believe
jolts	break
jolts	carried
king	make
liberty	recover
merit	saw
nap	take
number	compute
ocean	see
orders	given
page	take
part	avoid
passengers	brought
people	teach
progress	attended
puppy	trod
quarrels	raise
quarrels	shown
queen	make
ropes	fixed
sea	cast
sea-shore	took
steed	mounted
story	expected
swords	draw
talent	spread
terms	converse
time	bursting
time	darting
top	fixed
travelling-box	carried
wars	occasioned
window	shut
windows	observed
air	raised
air	waved
balance	preserved
beak	got
beak	held
blast	dashed
board	slipping
body	pick
box	began
box	borne
box	dashed
box	fastened
box	flew
box	floated
box	raised
box	tossed
breath	lost
buffets	heard
buffets	thought
carpenter	come
carpenter	saw
chair	mounted
dangers	escaped
day	escaped
degrees	hoisted
door	move
dungeon	delivered
eagle	devour
eagle	fall
eagle	got
eagle	pick
ears	sounded
effect	found
fall	stopped
floor	fastened
fortune	ruin
glumdalclitch	wish
hammock	shaken
handkerchief	fastened
handkerchief	thrusting
handkerchief	waved
head	heard
hinges	move
hold	shut
hole	saw
hour	divided
hours	preserve
mouth	putting
noise	heard
noise	passed
nurse	lamenting
nurse	suffer
others	pursued
overset	dashed
prey	share
pull	awaked
quarry	discover
reader	told
rest	defended
rest	hoped
sagacity	got
sash	kept
sea	fallen
ship	fastened
shout	repeated
slip-board	draw
squash	stopped
state	being
time	observed
times	called
times	repeated
times	waved
trampling	heard
voice	called
voice	raise
waist	buckle
water	floated
water	ooze
wave	dashed
wave	rising
waves	rise
windows	looked
windows	preserved
absurdities	concluded
bed	turn
box	take
brain	disturbed
cabin	bring
cabin	took
cable	fasten
cable	fastening
cable	take
cavity	shut
chairs	drew
chairs	sent
chairs	understand
chest	exposing
chest	raise
country	left
course	being
cover	fixed
crew	seen
crime	punished
directions	gave
distance	spied
drop	let
error	finding
finger	put
floor	damaged
floor	screwed
floor	tore
folly	laughed
gentleman	convinced
gentleman	give
gentleman	informed
glass	looking
goods	show
half	mistaken
hammock	understand
hint	gave
hole	thrust
hours	slept
man	shut
matter	discoursing
men	called
men	commanded
men	concluded
men	defenced
men	ordering
men	saw
men	seen
men	take
mind	bringing
mind	forgotten
minds	forceth
minutes	sawed
north	flying
orders	give
others	laughed
passages	bringing
provisions	forced
pulleys	raise
questions	asked
quilting	stripped
rest	take
rights	sunk
ring	put
sail	thought
sailors	discoursing
seamen	tore
ship	taken
side	called
side	discovered
side	row
size	suppose
staples	discovered
story	tell
swimming-house	seen
table	brought
table	understand
time	take
times	observed
times	rowed
way	forceth
whereupon	provided
ages	transmitted
bill	seen
blessing	ask
cabinet	put
captain	borrowed
captain	called
captain	come
captain	examine
captain	forbear
captain	force
captain	given
captain	hoped
captain	knew
captain	observe
captain	observed
captain	please
captain	promise
captain	protested
captain	receive
captain	received
captain	refused
captain	replied
captain	satisfied
captain	see
captain	sent
captain	understood
closet	seen
comparison	gave
days	meeting
eyes	accustomed
fall	seen
farthing	receive
feet	erect
finger	taking
giant	looked
glass	look
height	seen
house	forced
ideas	taken
knees	stooped
laughter	contain
laughter	knew
littleness	winked
manner	describing
matter	take
men	hear
men	seemed
men	wondered
mirth	continuing
mistake	drawn
mouth	reach
objects	accustomed
opinion	thanked
people	abound
people	observing
people	stand
ports	called
presence	opened
raillery	understood
ring	accept
servants	looked
shillings	borrowed
ship	got
story	contain
street	talking
surgeon	drawn
table	placed
thing	observed
thing	thought
thoughts	take
thrifty	found
thrifty	told
time	sailed
tooth	cleaned
tooth	drawn
tooth	found
tooth	observed
tooth	put
tooth	received
toothache	affected
trade-wind	meeting
trees	doubted
trees	observing
vanity	consulted
way	stand
wife	ran
wife	starved
wife	told
world	oblige
world	putting
writers	abound
author	wrote
children	read
curse	repeated
degree	took
hero	discovers
legacy	left
library	found
madman	died
meantime	conclude
parish	given
period	achieved
poison	injured
publisher	know
reader	filled
reader	ordered
task	completed
wife	protested
wits	lost
writings	owing
