belief	reconciled
limbs	sees
lives	bracing
loss	caused
marriage	contracting
master	bore
monarch	conducted
motive	assume
name	bore
nation	shows
neighbourhood	settle
numbers	perished
numbers	slain
oars	rest
object	collected
officer	accompanied
officer	bore
officer	rode
ones	admired
panic	seized
people	acquires
people	assimilates
people	carries
people	occupied
people	provoked
people	sees
period	conquered
pharaoh	acknowledged
pharaoh	carried
pharaoh	learned
pharaoh	seems
place	evacuating
place	taking
point	reached
population	weakened
power	crushing
power	rising
power	succeeded
presumption	assign
presumption	incline
princes	retained
princess	appears
princess	contracting
princess	gave
races	conquering
rear	hung
reign	learned
reputation	acquired
repute	acquired
resistance	meets
saites	set
scribes	learned
scribes	raise
self-respect	preserving
sense	seem
sense	submitted
side	marching
space	occupies
spirit	die
stand	took
stragglers	cutting
subjection	indicated
subjects	feel
subjects	leading
subjects	rebel
subjects	see
suzerain	defend
suzerains	acknowledged
syncellus	says
synchronism	accepted
system	improved
taa	called
third	called
thousands	carried
throne	held
time	laid
time	placed
time	rebelling
times	drove
town	laid
tribute	paid
type	decline
war-chariot	riding
way	resolves
wife	appears
will	determined
year	lost
adversaries	regarded
aggressor	inflicted
aggressor	suffer
army	carry
army	lost
arrow	directed
arrow	fixed
arrow	placing
arrow	struck
artifices	arte
ashes	laid
asshur	dwelt
attack	organized
attention	turned
battle	apply
battle	fought
battle	taken
blows	fallen
boats	passed
borders	driven
borders	exercised
bowstring	placing
career	began
cataract	placed
centuries	remained
character	bearing
character	broke
character	built
character	called
character	erected
character	set
check	received
chief	directed
chief	struck
coherence	inhabited
colonnade	surrounded
conception	form
condition	bettering
condition	describe
condition	possessed
conquerors	start
conquest	effected
conquest	secure
counterpart	proportioned
country	attacked
country	govern
country	showed
date	peopled
defeat	acquiesce
deg.	conquering
deg.	defeated
deg.	seized
deluge	overflowed
departure	show
devotion	indicated
diadem	fainting
dimensions	concerned
dimensions	regard
direction	broke
discipline	possessing
dust	lick
enterprize	raised
expedition	led
expedition	returned
expeditions	start
eye	bring
family	runs
feet	erected
feet	lick
first	attacked
first	grew
first	thothmes
followers	defeated
followers	dispersed
force	blocked
fortresses	withdrawn
frontier	mark
generation	skipped
government	associated
grand-sire	leapt
grandfather	served
gripe	escape
guilt	expiate
hair	escape
hills	rounded
historians	recognized
hittites	assumed
hittites	received
hittites	withdrawn
influence	exercised
inscription	couched
inscription	remains
inscription	set
inscriptions	bearing
inscriptions	indicated
kings	given
kings	taken
knee	bow
knee	fixed
lands	scattered
life	lost
limits	exercised
magazine	converted
majesty	carried
majesty	encountered
majesty	organized
men	brave
monarch	conquering
monarch	laid
monarch	let
monarch	overflowed
monarch	taken
monarch	took
nations	brought
north	grew
north	stretched
north	turned
north-east	adjoined
obelisks	adorned
obstacles	form
offence	proportioned
officers	accompanied
officers	served
others	carried
palace	called
palace	converted
penalty	expiate
philistines	inured
pieces	broken
pieces	hewed
piety	indicated
place	describe
place	propose
place	take
places	wooded
power	ceased
power	employ
power	grew
power	isolated
power	remained
prince	seems
prince	served
prisoner	seized
quarter	flushed
region	lost
region	project
reigns	began
reigns	preceding
resources	possessed
return	intoxicated
rewards	given
riders	accustomed
ridges	rounded
ship	carried
ship	hanging
spirit	inhabited
stench	filled
style	show
supply	carry
suzerainty	exercised
temple	adorned
terminus	pushed
terms	couched
terms	show
thoughts	burned
thoughts	raised
throne	ascended
time	regarded
times	received
title	govern
tribes	conquering
tribes	engaged
tribes	inhabited
usurtasen	continued
valley	blocked
valley	contains
valley	presents
valleys	filled
valleys	overflowed
veins	flowed
victories	satisfied
warrior	asked
warrior	employ
warrior	endowed
warrior	inherited
warrior	turned
way	forced
wells	procured
words	apply
year	set
years	associated
years	feel
years	sway
advances	making
ambassador	instructed
anomaly	appears
apartments	supported
architects	attracted
authority	exercise
awning	screened
beach	brought
beard	assumed
blocks	shown
bosjesmen	belonged
brother	reducing
builders	aspiring
bull	sacrificed
bushes	dug
capital	conveyed
charges	substantiate
chiefs	seem
cipher	reducing
commodities	brought
commodities	disembarked
country	known
country	prevailed
court	gave
crew	formed
daughter	left
day	engaged
decks	piled
decks	placed
departure	accompanied
destination	reached
diadems	living
distances	emplaced
doorway	led
earth	dug
effect	attached
effect	increased
expedition	accompanied
expedition	representing
expedition	started
expressions	occur
eye	has
eye	languishing
face	drawn
feet	gave
feet	roofed
forms	mixed
friendliness	prevailed
gifts	abounding
gifts	presented
head	holds
hostility	showed
husband	reigned
inscription	quoted
instances	shown
king	spoken
ladders	entered
law	passed
legs	deformed
leopard	followed
lip	has
man	regarded
memory	showed
men-at-arms	consisted
men-at-arms	required
mind	enterprizing
mistress	beaming
models	go
monuments	occurred
mouth	has
mouth	tied
name	erasing
name	hand
name	occurred
name	substituting
natives	bring
natives	brought
natives	gave
natives	living
north-east	terminating
occasion	held
officers	carried
others	belonged
palms	overshadowed
passengers	constructed
passengers	propelled
piles	supported
pillars	introduced
points	introduced
porch	led
porch	stood
porch	supported
position	held
prayers	offered
priests	officiating
products	brought
products	exchanged
queen	conducted
queen	deformed
queen	offered
queen	please
queen	presented
queen	refer
queen	sat
queen	seem
reception	gave
reign	took
remainder	consisted
remainder	felt
rowers	consisted
rowers	formed
sacks	collected
sacks	piled
sacks	tied
sea-shore	carried
ships	sailed
slaves	accompanied
soldiers	followed
steps	imposed
stream	flowed
structure	covered
structure	imposed
temple	building
temple	reached
tendency	counteract
throne	sat
time	appears
time	reigned
titles	took
travellers	meet
travellers	returning
trees	embarked
vessels	bring
visitors	convey
visitors	dig
visitors	exuded
visitors	flourish
visitors	grow
visitors	received
visitors	transplanting
walls	representing
waves	plough
winds	ascribed
winds	borne
world	contains
years	continue
years	reigned
adiabene	crossed
alluvium	ruled
army	invading
army	opened
attack	avoid
authority	claimed
battle	fought
camp	taken
campaign	whetted
campaigns	belong
campaigns	traced
challenge	accept
chief	forced
chisels	marred
constructions	missed
contribution	supply
counsel	scorned
dates	kept
day	arrived
death	died
descents	make
destiny	accomplish
determination	justified
elephant	haunted
elephant	leading
elephant	turned
empire	added
encounter	avoid
enemies	lost
enemies	scattered
enemy	collected
entrance	set
envoys	sent
event	justified
expedition	represent
expeditions	led
expeditions	undertaken
feet	measure
feet	trampled
festival	held
field	took
figs	kept
food	supply
fortieth	led
garrisons	occupied
gates	opened
generals	liked
generals	take
gifts	accepted
gifts	conveyed
god	lost
god	promised
hands	fell
hands	lay
herd	turned
hieroglyphics	covered
hieroglyphics	finished
horses	captured
horses	fled
hostage	died
hostages	obtain
intelligence	brought
king	scattered
level	reducing
march	arrived
march	continuing
march	took
monarch	drawn
monarch	engaged
monarch	ran
monuments	appear
monuments	found
mountains	dispersed
mountains	ruled
name	allowed
name	placed
night	rested
occasion	directed
occasion	ran
others	dispersed
part	seem
places	reducing
plain	fought
position	appear
presents	sent
queen	died
queen	disappears
rage	drawn
rescue	hastened
return	passed
risk	ran
road	kept
road	supply
route	march
scouts	brought
scouts	consisted
scouts	march
scouts	met
scouts	posted
ships	carry
ships	returning
sister	held
slaves	returning
sportsman	fallen
stations	supply
struggle	captured
struggle	overpowered
system	owing
tahai	fell
throne	deprived
time	embark
time	engaged
time	lost
time	reached
towns	besiege
towns	conquering
trees	beaten
tributaries	counted
tribute	consisted
tribute	paid
troops	avoid
troops	carry
troops	embark
trunk	drawn
tusk	gored
tusks	obtain
victim	gored
victim	trampled
warrior	follow
warrior	scorned
week	reached
whence	crossed
woman	called
xii	held
xii	placing
xii	showed
year	belong
year	undertaken
years	exercising
years	kept
years	led
zahi	fell
addition	vent
adornments	behold
ambition	vent
armies	contending
army	maintained
army	used
arrangement	enabled
artists	represent
avenger	behold
avenger	shews
battle	fought
birds	live
brothers	united
builder	proved
builder	worked
care	fostering
cell	erected
centre	being
centuries	continued
centuries	endured
centuries	stood
clerestory	lighted
conquerors	defeating
constantinople	holds
country	introduce
criticism	extend
crocodile	look
day	exists
death	succeeding
dew	disperses
dynasty	founded
east	organized
eastwards	erected
elephantine	adorned
embankment	put
empire	subduing
expeditions	used
feet	diminishing
feet	has
feet	scattered
fleet	placed
flowers	figure
force	maintained
force	plunging
fruits	figure
goose	found
goose	transported
grandfather	re-erected
grandfather	thrown
grasp	bound
hall	erected
hand	exceeded
hawk	behold
hawk	hovering
heat	sends
hermonthis	erected
hieroglyphics	covered
holiness	behold
holiness	look
holiness	regard
holiness	see
horns	approach
importance	recognizing
inches	diminishing
inscription	tells
lands	hinder
lazuli	bows
lion	see
material	reproducing
millenium	lasted
monarch	allow
monarch	call
monarch	possessed
monarch	relate
monarch	swear
monarchy	built
monkeys	live
monsters	broken
monsters	designed
monsters	executed
monsters	removed
monument	learnt
monuments	represent
north	enlarging
north-east	enlarging
novelties	introduce
obelisk	possesses
obelisks	adorned
pair	shrank
pictures	intermixed
pictures	portrayed
populations	display
power	submitted
propylaea	erected
propylaea	gave
propylaea	preserved
propylaea	proceeded
propylaea	re-erected
propylaea	render
propylaea	resolved
regions	governed
regions	marched
residents	teaches
restorers	possessed
reverence	preserved
rulers	brought
sanctuary	begun
sanctuary	rebuild
sanctuary	reconstruct
sanctuary	render
soil	brings
spot	found
store-chambers	form
style	worked
successors	known
sun	swear
sutlej	subdued
tahennu	pleases
task	accomplished
tons	weigh
translation	appear
translation	subjoined
valleys	leaves
weight	placed
weight	shrank
woodcut	accompanying
woodcut	shown
works	display
world	seen
writer	placed
years	continued
approach	confirmed
arms	carried
arms	crowned
arrangement	changed
artist	given
artist	has
artist	saw
barbarism	underlying
base	looked
bodies	suspended
builder	sway
builder	unenterprizing
case	remained
character	died
character	presents
chin	retreating
chin	rounded
colossi	erecting
conquests	left
death	revolted
dignity	express
earth	established
efforts	braced
enemies	terrify
event	landed
event	raised
fame	stained
feet	reached
figure	make
figures	formed
figures	reached
figures	sitting
form	completed
form	dwarfed
hand	heard
hand	killed
historians	term
interest	attaches
kings	brought
kings	destroying
kings	killed
kings	killing
kings	taken
kinsmen	lost
kinsmen	protected
knees	gazing
master	bore
matter	explain
measure	executed
miracle	hear
miracle	regarded
missionaries	call
monuments	noted
morning	emitted
name	bore
opponents	mention
others	mentioned
pair	grew
pair	sitting
people	entered
people	increasing
people	received
people	waxing
persons	known
persons	lay
philistines	hung
philostratus	mentioned
pipe	introduced
place	raised
places	set
points	seen
power	exercised
practices	secured
priests	found
priests	introduced
priests	make
prisoners	taken
quarter	terrify
reason	arisen
reckoning	exercised
rocks	given
satisfaction	explain
sculptor	belongs
sculptor	turned
second	make
second	recorded
second	showed
second	term
ships	built
soldier	heard
soldier	recorded
sound	emitted
sound	regarded
sounds	given
sovereignty	re-establish
stones	_
suggestion	affected
temple	emplaced
theory	disproved
third	make
throne-seats	placed
time	looked
times	heard
tone	emitted
travellers	drew
travellers	heard
victories	secured
visit	make
voice	desired
voice	hearing
war-club	destroying
war-club	taken
watch	keeping
world	beheld
year	noted
years	mouldering
years	wore
account	heard
adhesion	desired
arban	found
attendants	dressed
attendants	negro
blocks	quarried
boys	dressed
boys	negro
captives	consisted
cartouche	found
circle	represented
comparison	employed
court	comprised
court	indulged
court	turned
day	heated
deg	found
deg	heated
direction	make
disk	expressed
disk-worshippers	known
earth	presented
edifice	approached
edifice	built
education	known
elephantine	raised
eleven	dromos
emblem	assigned
end	rounded
expeditions	conducted
eyes	closed
eyes	covered
face	plunged
fire	drooped
frontier	advancing
hall	standing
halls	meant
hand	gained
hands	presented
hands	terminating
head	drooped
historians	reproached
idea	find
image	contain
khnum	raised
kingdoms	recognized
light	plunged
lions	abounded
manner	dressed
maut	built
memnon	issued
minutes	passed
monument	represented
monument	sculptured
music	belonged
music	sent
nations	gave
night	found
obelisks	adorns
obelisks	removed
obelisks	stood
pains	seem
pair	sat
pantheon	composing
pantheon	take
peoples	brought
peoples	subjected
phenomena	occur
pillars	spaced
portion	deferred
princesses	influence
propylon	embellished
races	sought
rate	obtained
razzias	resulted
residence	meant
respect	make
ruling	considered
shrine	built
side	flanked
son	mounted
sound	heard
sounds	emitted
sounds	hear
sounds	heard
spirit	informed
spirit	lived
spirit	worked
statues	flanked
sun	growing
sun	viewed
taia	deferred
taste	indulged
taurus	extend
temperature	found
temples	built
temples	raised
throne	mounted
tools	shaped
traps	caught
tribute	brought
trouble	gave
while	awakened
whole	conclude
wife	deferred
world	spread
worshipper	presented
writer	hear
writer	moving
advance	concealed
advantage	terminated
aggressor	find
aggressor	settle
allies	agreed
allies	held
allies	left
arabia	brought
arrows	plied
attack	prompt
battles	overcame
blood	overwhelmed
bodies	organized
bounty	prostrate
brethren	attracted
brethren	drawn
brethren	multiplied
cattle	pasturing
changes	introduced
chariots	organized
chiefs	received
chin	developed
circumstance	favoured
circumstances	admitted
city	ruined
contact	permit
country	attacked
country	brought
court	withdrew
courtiers	posed
courtiers	showered
courts	witnessed
day	seen
death	found
defenders	took
desert	drawn
disadvantage	attacked
dominion	established
dominions	plunged
dust	prostrate
epithet	took
expeditions	ceased
faces	veil
faith	count
festival	kept
festival	took
fight	followed
forces	organized
friends	agreed
frontier	crossed
gains	fight
gates	sallied
gifts	bestow
gifts	showered
god	posed
god	showered
god	worshipped
grave	descended
greatness	permit
ground	thrown
heavens	perform
henceforth	called
henceforth	ceased
henceforth	show
herdsmen	pasturing
herdsmen	startled
hitherto	engaged
horus	called
influence	found
invaders	gave
invasion	accepted
kharu	fell
kings	burst
kings	placed
land	show
men	bestow
men	receive
men	veil
mi-harmakhu	took
moment	rushed
monarch	associated
monarch	cleared
monarch	mounted
monarch	placed
monarch	save
monuments	mutilated
monuments	raised
mortals	binding
names	obliterated
nations	bound
neck	represented
numbers	attracted
obelisk	erected
occasion	composed
others	defended
palaces	raised
parallels	drawn
pause	followed
peace	engraved
peace	set
pharaoh	brought
pharaoh	leaping
pharaoh	overwhelmed
pharaoh	passed
pharaoh	slain
pharaoh	struck
pharaoh	thrown
place	restored
portion	defeated
portion	met
portion	sallied
possessions	distracted
power	drew
power	taking
princes	brought
princes	confront
princes	overwhelmed
princes	passed
princes	slain
princess	allow
princess	brought
princess	prevailed
princess	provide
progress	brought
prostration	enforced
race	involved
races	absorbing
radiance	veil
reformation	attached
reforms	opposed
religion	introducing
result	followed
revolution	brought
sceptre	left
seat	settle
side	fought
son	associated
sphere	showered
steeds	prancing
struggle	engaged
struggle	followed
successors	attached
tabernacle	placed
temples	raised
temples	represented
throne	associated
thrones	occupied
time	brought
unawares	taken
victory	gained
view	taking
views	pushing
walls	defended
wives	prevailed
work	completed
year	perform
achilles	carried
act	deferred
act	fell
advance	learning
adversary	recognized
allegiance	change
ambush	quitted
arms	turned
army	lay
army	massed
army	separated
army	taken
audacity	paralysed
avenue	formed
bank	proceeded
battle	defeated
battle	gain
battle	perished
battle	renewed
bond	existing
bond	strengthened
brother	taken
caves	fled
chariots	began
circumstances	bound
circumstances	changed
clerestory	roofed
coast	inhabited
companions	forced
companions	found
companions	sped
conclusion	acquiescing
crocodiles	fall
dart	hurl
dart	hurled
day	renewed
decline	raised
decorations	coloured
defensive	stand
dependencies	remaining
diomed	carried
disaster	informed
division	engage
divisions	arranged
divisions	proceeded
divisions	remaining
divisions	support
dominion	lost
dynasties	giving
embassy	sent
end	descend
enemy	anticipated
enemy	charged
enemy	elect
enemy	marched
enemy	meet
enormity	impose
equality	established
execution	shown
exploits	perform
fact	regarded
failure	confess
feather	involved
feathers	wearing
feet	contains
field	driven
fight	called
fight	commenced
fight	enabled
flight	carried
foes	raised
foot	gave
form	reproduce
friends	drawn
friends	exhausted
frontier	anticipated
galleries	extending
glance	taken
grounds	afforded
groups	divided
hair	hangs
hair	shaved
hall	built
hall	contains
hall	covers
halls	contains
halls	pillared
hand	fought
hand	hurled
heart	shrank
hearts	passed
hearts	struck
host	carried
hosts	met
hours	seemed
idea	embody
infantry	make
interests	giving
king	ordered
lake	raised
language	convey
left	brought
left	commenced
limbs	gave
line	fled
line	turned
lines	charged
lock	excepting
lock	plaited
marriage	cemented
marriage	strengthened
minutes	continued
minutes	seemed
monarch	enterprizing
monarch	taken
monuments	distinguished
motives	constrained
mummies	carrying
mummies	entwining
mummies	raised
nation	bound
nations	raised
neighbours	fear
neighbours	protect
obedience	claiming
ones	formed
openings	forced
others	forced
people	defeated
people	distinguished
people	having
people	inclined
people	make
people	wore
period	pronounced
pieces	cut
pieces	dashed
place	appears
place	died
place	taken
pleasure	killed
power	confined
power	mention
proceedings	afforded
purpose	effect
pyramids	astonish
pyramids	impose
quarter	maintain
queen	recognized
queen	remaining
queen	stood
rear-guard	acting
reign	borne
reigns	dated
resistance	make
right	brought
river	cross
river	perished
rock	hewn
rock-tombs	seen
roof	covered
sanctions	established
sanctions	placed
scouts	believed
shore	reached
side	supported
sight	lost
south	entering
south	turned
spear	thrust
steeds	dashed
struggle	submitted
student	look
success	crowned
successes	dazzled
tail	reach
tale	persist
thothmes	held
time	perform
time	retired
time	seemed
trap	fallen
treaty	concluded
troops	arranged
troops	pouring
troops	told
valley	entering
victory	cost
wall	began
wall	carried
wall	recalls
water	fall
water	forced
west	turned
whole	roofed
world	contains
years	concluded
years	succeeding
yoke	shake
administrator	depict
affairs	conducted
affliction	provoked
akausha	read
army	consisting
army	led
attack	fallen
attack	make
attack	meet
attempt	incurred
auspices	commenced
auxiliaries	attaches
buildings	erected
buildings	united
campaign	take
characteristics	inherited
chief	seem
chin	rounded
clothes	swaddling
coasts	plundering
contingents	consisted
country	bring
danger	apprehended
danger	escaped
danger	meeting
danger	threatened
dawn	succeeded
dim	stretches
end	adorned
father	possessing
father	refined
fleets	launch
forces	collected
frontier	adjoined
frontier	secured
generation	grown
generation	recover
hebrews	mentioned
identifications	accepted
importance	regarded
injury	bring
interest	attaches
interval	gave
invasion	carried
labour	erected
labour	forced
league	united
legs	reach
loss	incurred
loss	remain
lot	discontented
marriage	secured
maxyes	weakening
monarch	see
monuments	depict
monuments	show
mother	born
nations	consisted
navigators	flourishing
neighbours	indulge
oppression	lasted
others	weakening
peoples	flourishing
plain	adjoined
population	multiplied
population	submitted
population	suffering
processions	reach
quarters	apprehended
race	insisted
race	valued
raids	regarded
raids	threatened
ramesses	born
ramesses	erected
ramesses	has
ramesses	held
ramesses	inherited
ramesses	left
ramesses	wail
region	lead
region	multiplied
reign	commenced
reign	indulge
reign	looking
reign	terminated
relations	contracted
round	meandering
sand	sit
sarcophagus	lies
sculptures	represented
shardana	read
sheklusha	read
shores	visited
sicels	flourishing
sicels	found
size	magnified
soldier	depict
south	fallen
southernmost	remember
southernmost	revealed
southernmost	sits
sovereignty	held
state	broke
time	lead
time	passed
tribes	began
tribes	weakening
triumphs	seem
troubles	broke
tursha	read
view	accepted
waste	looking
waste	stretches
west	fallen
world	obtain
years	antedate
years	passed
address	delayed
advance	prevent
adversaries	cast
akaiusha	appear
allies	ravaged
april	followed
architects	excelled
architects	understood
armies	joined
art	let
battle	lost
battlefield	affronting
battles	fight
beholder	impress
bodies	cast
bodies	driven
buildings	ornamented
camp-equipage	leaving
captains	collected
captains	lead
cattle	journeyed
change	underwent
channel	entered
chariot	took
chariot-wheels	sank
chariots	sent
chief	charges
chief	quitted
chief	uttered
cities	fortified
cities	pillaged
colouring	harmonized
confederates	suffered
country	ravaged
courage	failed
day	appointed
defeat	suffered
defences	existing
defences	strengthened
defensive	remained
defensive	shut
defensive	viewed
delta	entered
desert	marching
director	established
disaster	paralyzed
edge	reaching
enemies	mutilated
enemy	disciplined
enemy	proceed
engagement	took
event	prepared
exceptions	excelled
exodus	began
expedition	broke
expedition	dispersed
feather	showed
fellahin	beaten
field	quitted
flocks	take
force	gather
forces	overthrown
forces	put
forces	sent
fugitives	following
fugitives	valued
gale	driven
geese	trembled
ground	entered
grounds	laid
halls	impress
hebrews	caught
herds	take
horse	helped
horse	introduced
horses	floundered
horses	slipped
hosts	blocked
hundreds	cast
hundreds	sate
infliction	shown
inscription	mentioned
king	affected
king	approached
king	bless
king	called
king	lost
king	sent
land	returned
lands	wasted
lawns	clothed
library	established
lo	vanquished
lord	serve
lubu	meditating
man	exposing
mercenaries	belonged
mercenaries	found
mercenaries	learned
messenger	began
messenger	delayed
messenger	told
mind	underwent
monarch	paralyzed
morning	dawned
names	repeat
october	followed
ooze	sank
orders	bore
others	regarded
paintings	linking
people	get
people	prepared
people	trembled
period	elapsed
person	guarding
pharaoh	address
pharaoh	delayed
place	hold
position	menaced
position	taken
prince	conducted
protector	viewed
ramesses	declined
reproaches	uttered
request	press
result	bringing
return	delayed
revolution	produced
scene	adding
sea	perished
service	entered
services	valued
shardana	struck
shartana	absenting
shartana	gave
shartana	says
shartana	slaughtered
shartana	struck
shartana	took
shartana	vanquished
shartana	vowed
soldiers	affronting
son	lost
space	covering
spot	fixed
state	weakened
styles	put
tents	fell
throne	contested
tides	communicated
time	address
time	followed
time	understood
troops	calling
troops	collected
troops	drove
troops	extricate
troops	let
troops	repeat
troops	trusted
vos	complaining
vos	tell
waters	returned
way	attempted
word	given
works	combine
world	seen
year	returned
years	establishing
abominables	execute
act	punished
ambush	set
ambushes	rose
aradus	fell
arm	grows
arms	crowned
arms	stood
army	shattered
auseis	exercising
banner	unfurled
barriers	overleaps
battle	caused
battle	contended
battle	defeated
battle	followed
battle	revenged
battles	represent
bull	tremble
bullock-carts	attacked
bullock-carts	moving
cabins	spoiling
camp	taken
campaign	began
cantons	broke
cartouches	chisel
cattle	capturing
cattle	presented
cities	took
coasts	land
confederates	remaining
conquerors	pushed
crowd	formed
crown	owed
danger	overcome
day	excavate
day	gave
descent	owed
difficulty	felt
distance	hung
dominion	extend
dynasty	built
earth	quit
efforts	frustrate
enemies	awaited
enemies	banded
energies	exhausted
engagement	continue
expeditions	abstained
field	take
fleet	combined
fleet	contended
fleet	invading
fleet	join
fleet	land
fleet	met
fleet	remained
flood	flows
flood	overleaps
flotillas	placed
forces	unite
fort	built
fortresses	confined
forts	placed
frontier	attack
frontier	experienced
frontier	ravaged
frontier	strengthened
fury	slaughtering
galleys	covered
garrisons	placed
ground	strew
heaps	lay
heptarchy	re-established
heptarchy	returned
historian	says
hopes	doomed
hordes	advancing
hordes	encountering
hordes	gave
horns	strikes
horses	trampled
hundreds	escaped
hundreds	forced
hundreds	plying
hundreds	pushed
iron	branded
king	associated
king	called
king	carried
king	constructed
king	employed
king	named
king	provided
king	punished
king	reigned
king	viceroy
kingdom	associated
lakes	placed
land	put
landing	effect
lands	squatting
main-tops	play
man	contain
march	set
marshes	pushed
mass	defeated
mast	crowned
mast	hung
medinet-abou	accomplished
men	armed
men	fighting
mire	trampled
mountains	shake
movements	begin
mutterings	bursts
mutterings	heard
nations	banded
nations	resolved
nations	sent
nile	defeated
nile	driving
nome	extend
nomes	broke
numbers	advanced
obstacle	stopped
offerings	re-establish
operations	began
orders	built
pars	swept
part	found
part	take
passion	cast
passion	exhausts
pieces	shattered
place	substituted
places	set
point	took
population	driving
population	squatting
portion	employed
position	selected
power	reducing
predecessor	punished
pressure	exercising
pressure	forced
prince	bore
prince	found
prince	set
prince	thought
prisoner	take
prisoners	join
prisoners	serve
progress	arrested
progress	overcome
progress	stopped
purpose	carry
quarter	attack
receptacle	crowned
receptacle	placed
receptacle	prepare
remains	prepare
rest	continue
sailors	sent
sailors	spread
sculptures	represented
sea	covered
sea	swept
sepulchre	see
service	join
settlement	effecting
ship	has
ship	hung
shore	coasted
slaves	attached
snake	killed
snake	scotched
spirit	appears
squadrons	combined
square-sail	carry
stand	took
steeds	prancing
stream	placed
summons	gave
surrender	saved
temples	attached
temples	set
territory	harrying
third	called
thousands	land
throne	forced
throne	occupied
time	built
time	commenced
time	found
time	preserve
time	unfurled
top	hung
tremor	goes
veins	ran
vessel	bows
vessel	carries
victory	anticipating
war-car	plying
war-car	rattling
war-car	strew
warriors	sent
watch	kept
way	force
way	forced
yard	constructed
yard	has
years	forced
years	reigned
arm	stretches
arms	carried
art	sell
arts	use
assailants	declined
assailants	followed
assassinations	planned
attack	repulsing
attack	took
attack	united
attention	turned
authority	seize
bank	stood
banks	lined
belief	spread
bidder	sell
blank	spared
booty	contain
capital	fixed
caste	formed
caste	recruited
caste	separated
ceremony	adds
colleges	directed
colleges	held
columns	makes
combat	ceased
conspiracies	hatched
conspirators	aimed
conspirators	scruple
court	exercised
court	invaded
crew	hatched
crew	planned
deaths	cause
demise	seize
dignity	adds
directions	carried
discharge	required
divinity	derived
drawings	satirized
duties	devolved
eclipse	undergoing
edge	fall
engagements	defeated
expeditions	disturbing
father	regards
father	succeeded
feet	trample
field	meet
fleet	built
functionaries	implicated
functionaries	written
gratitude	testifies
ground	dashed
ground	hewn
hands	accumulate
hands	obtain
hands	passed
hands	stain
head	placed
heaps	slain
herhor	force
herhor	grasped
herhor	possessed
herhor	seems
herhor	stain
hero	behaved
hierarchy	culminates
high-priests	carried
high-priests	gave
ideas	upset
infantry	behaved
infantry	caused
infantry	overturned
infantry	placed
infantry	says
influence	exercised
initiative	passed
inscription	says
inscription	set
inspiration	appears
interval	sway
invaders	attempted
jewels	buried
jewels	tearing
kush	recovered
lees	settles
life	aimed
life	counted
limbs	paralyse
limbs	quivered
lions	roaring
lot	acquiesced
malady	seizes
moderns	peruse
munificence	gave
nation	doomed
nations	reached
nations	severed
nations	trample
nations	traversed
oasis	stain
order	reversed
order	seems
others	peruse
others	written
period	played
person	adds
person	comes
persons	tearing
places	displays
position	resulted
position	succeeded
possessor	enabled
priests	implicated
principles	introduced
principles	possessing
privileges	separated
proceedings	implicated
reign	commenced
reservoir	dug
rule	acquiesced
shade	give
ships	floating
ships	found
shore	gained
shoulders	devolved
skill	sell
society	settles
sons	recruited
soul	taken
spirit	annihilated
struggle	ended
struggle	reached
struggle	severed
struggle	traversed
subjects	grew
temple	attached
throne	force
throne	occupied
time	re-establishing
tombs	rifling
tone	prevails
trees	turned
vessels	overturned
victim	fallen
war-steeds	burned
war-steeds	quivered
war-steeds	saw
wars	commenced
waves	sank
worth	knows
yoke	resulting
ambition	displayed
amnesty	granting
assistance	come
assistance	marched
authority	extended
authority	set
babylon	ruled
borders	brought
buildings	adorned
capital	thought
cases	is
century	held
commission	conclude
connection	retaining
conspiracy	implicated
contest	withdrew
countries	blocked
court	remained
crown	seemed
daughter-in-law	connected
descent	trace
doubt	surrendered
dynasties	continued
dynasties	seeking
dynasty	preceding
efforts	urged
empire	blocked
empire	built
empire	inherited
empire	required
entrance	stood
extent	established
fellow-townsmen	dare
fellow-townsmen	executed
functions	abandon
glory	seeking
grandfather	bore
grandmother	connected
hand	promoted
highness	called
historian	expected
historian	supplies
history	has
horus	gave
houses	derived
imagination	entitled
impulse	gave
instance	appeared
kingdom	succeeded
legitimacy	gave
marriage	contracting
match	allowed
materials	supplies
mercenaries	formed
monarchs	affected
monuments	appears
name	bore
oasis	passed
oasis	return
obelisks	stood
offenders	punish
office	attached
office	held
office	seems
opponents	exasperated
opponents	urged
opposition	offered
others	grants
pardon	grants
part	played
pattern	modelled
pedestals	push
pieces	shattered
pillars	stood
pillars	took
plans	laid
pleasure	punish
policy	adopted
polygamy	affected
polygamy	spread
position	attain
position	brought
position	occupying
position	worked
power	grew
power	undermine
powers	entrusted
priest-kings	escape
priest-kings	held
prince	received
princess	took
quarter	held
rank	enjoyed
reception	accorded
refugees	allowing
reproach	escape
reproach	rests
rivals	deter
rule	prospered
side	supported
singles	dare
soldier	being
son	appear
son	outlive
son	succeeded
son	surrendered
strength	acquainted
subject	occupying
things	entitled
throne	held
throne	mounted
throne	seize
time	foreshadowed
title	strengthen
title	surrendered
trade	carried
views	possessed
vigour	loses
will	mould
wives	turned
women	loved
writers	manufacture
writers	mould
achievements	commemorate
armies	joined
arms	placed
army	having
army	levied
army	proceeded
aroer	trace
arrival	awaiting
attack	anticipated
base	shaken
battle	fell
battle	seems
borders	lighted
camp	taking
capital	led
care	fortified
