accidents	happen
shop	take
side	get
side	holding
sight	saw
south	go
stool	kicked
strangers	keep
straw	patted
surprise	found
time	finished
time	looked
travellers	barked
travellers	began
travellers	climb
travellers	cross
travellers	drew
travellers	found
travellers	get
travellers	patted
travellers	picked
travellers	pull
travellers	took
travellers	walked
tree	passed
voice	barked
waist	reaching
walk	tired
wall	climb
wall	climbed
wall	fell
wall	found
wall	looked
wall	seemed
wall	think
wall	worry
animals	scampered
basket	carry
beast	wish
cheeks	puffing
church	breaking
clown	covered
clown	declared
clown	mended
clown	put
country	found
country	see
cracks	covered
cracks	running
forest	entered
forest	walked
grass	hid
hands	put
head	nodding
head	stand
head	stood
holes	falling
home	wish
joints	stiffen
leaves	dried
leg	breaking
legs	gathered
life	answered
life	like
mantle-shelf	stand
pieces	smashed
place	seen
places	mended
pockets	put
poker	eaten
strangers	break
strangers	saw
tail	upset
top	scramble
travellers	reached
animal	seizes
animals	holding
back	landed
beasts	bowed
body	joined
body	knocked
claws	armed
creature	attack
creature	prevent
end	put
enemy	fight
feet	helped
fly	does
foe	turned
fore-foot	pointing
forest	come
forest	crawls
forest	drags
forest	eats
forest	has
head	joined
head	knocked
head	showed
head	supported
heads	fight
hill	belongs
hill	climbing
hill	covered
hill	dashed
hill	get
hill	pass
hill	rolling
hill	saw
hillside	saw
king	bowed
leg	seizes
legs	stopped
lion	asked
lion	bade
lion	bow
lion	bowed
lion	brave
lion	caught
lion	dashed
lion	enquired
lion	explained
lion	found
lion	gave
lion	go
lion	growling
lion	judged
lion	knew
lion	knocked
lion	landed
lion	marched
lion	need
lion	obey
lion	promised
lion	put
lion	spoke
lion	struck
lion	thought
lion	waiting
lion	watched
meeting	holding
mishap	caused
monster	crawls
monster	eaten
monster	fight
mouth	drags
mouth	eats
nose	turned
others	followed
others	heard
others	kept
others	reached
path	kept
people	fight
people	withstand
quadlings	saw
roar	returned
rock	cross
rock	reached
rock	showed
spider	does
spring	gave
tiger	answered
time	come
toto	whimpered
travellers	get
travellers	passed
travellers	seen
voice	cross
voice	replied
way	followed
adventures	met
air	rose
axe	leaned
band	stood
bridges	walked
castle	saw
child	asked
companions	found
companions	met
comrades	carried
cyclone	brought
door	knocked
dust	shook
face	washed
fields	walked
girl	answered
girl	looked
girl	returned
girls	dressed
girls	trimmed
grain	showed
grass	showed
hair	combed
hair	fell
hammer-heads	shot
hammer-heads	summon
hammer-heads	yelled
heart	bless
joints	oiled
lion	shook
mane	shook
moment	thought
moments	stood
quadlings	painted
road	reach
road	take
room	followed
service	need
shape	patted
south	take
times	command
toto	caught
travellers	caught
travellers	knocked
travellers	walked
uniforms	dressed
wife	answered
wife	come
wife	opened
wish	make
witch	died
woman	eat
woman	thanking
words	uttered
year	afford
air	fallen
arms	jumped
arms	threw
arms	took
barn	running
barnyard	milking
cabbages	water
child	crying
child	found
child	hugged
child	kissed
child	threw
cornfield	passed
coward	lived
cows	milking
cyclone	built
day	gone
desert	carry
desert	lost
ears	whistling
face	covering
face	kissing
face	painted
flight	fallen
forest	carry
forest	get
forest	lies
forest	stood
friends	shown
girl	give
head	patting
heels	knock
home	returned
house	come
joints	weeping
kindness	thanked
kingdom	rule
kisses	covering
life	pass
life	passed
lion	declared
lion	lived
lion	looked
neck	threw
times	clapped
times	knock
times	rolled
witch	thanked
